"","merge_genes","Freq"
"1","Aatf",3
"2","Abce1",6
"3","Acvr1",1
"4","Adam8",3
"5","Adar",7
"6","Adnp2",1
"7","Ahcy",2
"8","Akr1b3",1
"9","Akt1",9
"10","Arl2bp",1
"11","Ass1",2
"12","Atp2a2",1
"13","Atxn1",3
"14","Aurkb",2
"15","Blmh",2
"16","Bod1",2
"17","Bop1",4
"18","Bub3",2
"19","Cad",2
"20","Calr",8
"21","Canx",1
"22","Casp3",1
"23","Casp6",1
"24","Ccnb1",1
"25","Cct2",3
"26","Cct3",3
"27","Cct5",3
"28","Cct7",3
"29","Cd44",1
"30","Cdc20",1
"31","Cdca5",2
"32","Cdca8",1
"33","Cdk1",2
"34","Cenpa",1
"35","Chchd10",1
"36","Cib1",3
"37","Clasp1",3
"38","Cpsf6",5
"39","Creb3",1
"40","Ddx18",4
"41","Ddx21",4
"42","Ddx39",4
"43","Ddx49",4
"44","Dkc1",6
"45","Dnaja1",3
"46","Dnaja2",1
"47","Dnajb6",2
"48","Dnajc5",1
"49","Dph3",1
"50","Eif2s1",1
"51","Eif2s2",1
"52","Eif2s3x",1
"53","Eif5",1
"54","Enoph1",2
"55","Eny2",4
"56","Eral1",2
"57","Erp44",1
"58","Evl",3
"59","Exosc8",4
"60","Farsa",2
"61","Fgfbp1",3
"62","Flna",4
"63","Fos",1
"64","Ftsj3",4
"65","Gars",2
"66","Gart",2
"67","Gcsh",2
"68","Gfer",1
"69","Gfpt1",2
"70","Gls",2
"71","Gnai2",1
"72","Gnptab",1
"73","Got2",2
"74","Gsr",1
"75","Gtf2h5",4
"76","Hars",2
"77","Hif1a",5
"78","Hmgb2",1
"79","Hsp90aa1",3
"80","Hspa9",4
"81","Hyou1",1
"82","Iars",2
"83","Icam1",1
"84","Incenp",1
"85","Ints5",1
"86","Ipo4",6
"87","Ipo5",4
"88","Ipo9",6
"89","Itga3",3
"90","Itga6",1
"91","Itgb1",3
"92","Itgb1bp1",3
"93","Iws1",4
"94","Kif2c",1
"95","Kpna2",4
"96","Kpnb1",5
"97","Krt16",3
"98","Lcn2",1
"99","Lyar",4
"100","Map2k3",3
"101","Map2k5",4
"102","Map4k4",3
"103","Mcl1",2
"104","Melk",1
"105","Met",4
"106","Mettl6",1
"107","Mgst1",1
"108","Mmp3",1
"109","Mthfd1",2
"110","Myh9",3
"111","Nars",2
"112","Ncapd2",1
"113","Ncapg",1
"114","Ncaph",1
"115","Ndufa12",1
"116","Ndufs8",1
"117","Nfkb1",2
"118","Nfkbia",4
"119","Nhp2",4
"120","Nol6",8
"121","Nop14",4
"122","Nop16",2
"123","Nudcd2",1
"124","Nup133",6
"125","Nup155",6
"126","Nus1",3
"127","Odc1",2
"128","Osbpl8",1
"129","P4hb",2
"130","Pa2g4",4
"131","Pak1ip1",2
"132","Pcmt1",2
"133","Pea15a",1
"134","Pex19",2
"135","Phax",4
"136","Pkn2",3
"137","Polr1a",1
"138","Pom121",4
"139","Ppargc1b",1
"140","Ppat",2
"141","Pphln1",1
"142","Ppif",3
"143","Ppig",1
"144","Ppih",1
"145","Ppp1cc",2
"146","Prdx4",4
"147","Prnp",1
"148","Psat1",2
"149","Psme3",1
"150","Ptk2b",4
"151","Pxn",3
"152","Pycr2",3
"153","Qdpr",2
"154","Qtrt1",1
"155","Rab11a",5
"156","Rab8b",1
"157","Rad21",2
"158","Ranbp3",3
"159","Rexo4",4
"160","Riok1",4
"161","Rps3",1
"162","Ruvbl2",3
"163","Sec61a1",1
"164","Sec63",1
"165","Sephs2",3
"166","Sfn",3
"167","Slc25a5",1
"168","Smc4",1
"169","Snrpd1",1
"170","Sod1",1
"171","Sod2",2
"172","Sparc",3
"173","Spcs3",1
"174","Spr",2
"175","Src",6
"176","Srpr",1
"177","Strap",4
"178","Suv39h1",4
"179","Tacc3",1
"180","Tardbp",4
"181","Tars",2
"182","Tgfbr1",4
"183","Thoc1",4
"184","Timm44",1
"185","Timm8a1",1
"186","Tomm40",1
"187","Tor1aip2",1
"188","Tram1",1
"189","Tram2",1
"190","Trim8",1
"191","Tspo",1
"192","Txnrd1",3
"193","Vhl",3
"194","Wbp11",4
"195","Wdr36",4
"196","Wdr75",4
"197","Xbp1",6
"198","Xpo1",7
"199","Xpot",4
"200","Yars2",2
"201","Znhit3",4
"202","Zwint",1
